ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
02d7eeb5-2a9d-33b8-860d-42cb133676bc,2015,,,6160565,,,,,,,,,513380.4166666667,,,,,,,,,,,,
07f69a8d-5188-3162-a34d-457b499dc1e8,2019,,,341962,,,,,,,,,28496.833333333332,,,,,,,,,,,,
b490c531-c614-3dc0-88cb-26b26f4ff07e,2015,,,61590,,,,,,,,,5132.5,,,,,,,,,,,,
1d85a667-5a52-328c-b3fb-84bc91d85438,2012,,,0,,,,,,,,,0.0,,,,,,,,,,,,
d79ef2ca-35d5-3cf6-a463-c2962458e36a,2020,,,305909771,,,,,,,,,25492480.916666668,,,,,,,,,,,,
b3bb7083-a87f-3548-8397-7bdde643248e,2014,,,1069637,,,,,,,,,89136.41666666667,,,,,,,,,,,,
f0506206-1963-368c-ab8f-f0ec84c9b014,2013,,,1169799,,,,,,,,,97483.25,,,,,,,,,,,,
d9b10094-ba34-3aa0-9475-eb013d0bd7da,2018,,,101680935,,,,,,,,,8473411.25,,,,,,,,,,,,
b3ae540a-296b-349c-9346-641b5af187b8,2013,,,657871,,,,,,,,,54822.583333333336,,,,,,,,,,,,
87b6a385-8337-331d-92f7-a242030b330c,2016,,,13671706,,,,,,,,,1139308.8333333333,,,,,,,,,,,,
7ebbd84e-2f78-3c9e-b191-a868466366c3,2014,,,12249603,,,,,,,,,1020800.25,,,,,,,,,,,,
5a1afb31-50aa-31fe-acbf-d98f34152060,2014,,,0,,,,,,,,,0.0,,,,,,,,,,,,
e813c1f6-d700-3b8b-9433-12d47c2641a5,2016,,,1098743,,,,,,,,,91561.91666666667,,,,,,,,,,,,
5bc0b62e-04e3-3f34-b5a6-d012acd9b0c4,2014,,,1729376,,,,,,,,,144114.66666666666,,,,,,,,,,,,
